store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,date_number,y_final
887,2,0,0,0,1,1,1356998400,-209.8244629242472
329,2,0,0,0,1,1,1356998400,-130.1404759061934
750,2,0,0,0,1,1,1356998400,-190.26047328002915
622,2,0,0,0,1,1,1356998400,-171.98170923287762
305,2,0,0,0,1,1,1356998400,-126.71320764735265
1029,2,0,0,0,1,1,1356998400,-230.10246678905605
52,2,0,0,0,1,1,1356998400,-90.58408808540389
508,2,0,0,0,1,1,1356998400,-155.7021850033825
1099,2,0,0,0,1,1,1356998400,-240.09866587734177
937,2,0,0,0,1,1,1356998400,-216.96460513016518
652,2,0,0,0,1,1,1356998400,-176.26579455642877
763,2,0,0,0,1,1,1356998400,-192.11691025356868
893,2,0,0,0,1,1,1356998400,-210.6812799889567
648,2,0,0,0,1,1,1356998400,-175.69458317995486
390,2,0,0,0,1,1,1356998400,-138.8514493974144
177,2,0,0,0,1,1,1356998400,-108.43444360020112
466,2,0,0,0,1,1,1356998400,-149.70446555041144
805,2,0,0,0,1,1,1356998400,-198.11462970653974
321,2,0,0,0,1,1,1356998400,-128.99805315324647
394,2,0,0,0,1,1,1356998400,-139.4226607738883
613,2,0,0,0,1,1,1356998400,-170.696483635812
966,2,0,0,0,1,1,1356998400,-221.10588760959854
561,2,0,0,0,1,1,1356998400,-163.2707357416566
142,2,0,0,0,1,1,1356998400,-103.43634405605735
677,2,0,0,0,1,1,1356998400,-179.83586565938822
782,2,0,0,0,1,1,1356998400,-194.8301642918177
201,2,0,0,0,1,1,1356998400,-111.86171185904186
348,2,0,0,0,1,1,1356998400,-132.85372994444242
877,2,0,0,0,1,1,1356998400,-208.39643448306288
568,2,0,0,0,1,1,1356998400,-164.27035565048482
541,2,0,0,0,1,1,1356998400,-160.41467885928887
718,2,0,0,0,1,1,1356998400,-185.6907822682415
597,2,0,0,0,1,1,1356998400,-168.41163812991817
960,2,0,0,0,1,1,1356998400,-220.24907054488813
1059,2,0,0,0,1,1,1356998400,-234.3865521126072
175,2,0,0,0,1,1,1356998400,-108.14883791196371
503,2,0,0,0,1,1,1356998400,-154.9881707827908
1111,2,0,0,0,1,1,1356998400,-241.8123000067626
437,2,0,0,0,1,1,1356998400,-145.56318307097808
1100,2,0,0,0,1,1,1356998400,-240.24146872146048
61,2,0,0,0,1,1,1356998400,-91.86931368246951
96,2,0,0,0,1,1,1356998400,-96.86741322661237
588,2,0,0,0,1,1,1356998400,-167.12641253285256
344,2,0,0,0,1,1,1356998400,-132.28251856796942
594,2,0,0,0,1,1,1356998400,-167.98322959756297
517,2,0,0,0,1,1,1356998400,-156.98741060044813
663,2,0,0,0,1,1,1356998400,-177.8366258417309
846,2,0,0,0,1,1,1356998400,-203.96954631539302
431,2,0,0,0,1,1,1356998400,-144.70636600626767
842,2,0,0,0,1,1,1356998400,-203.39833493892002
714,2,0,0,0,1,1,1356998400,-185.11957089176758
1104,2,0,0,0,1,1,1356998400,-240.8126800979344
81,2,0,0,0,1,1,1356998400,-94.72537056483634
698,2,0,0,0,1,1,1356998400,-182.83472538587375
598,2,0,0,0,1,1,1356998400,-168.55444097403688
599,2,0,0,0,1,1,1356998400,-168.69724381815467
1098,2,0,0,0,1,1,1356998400,-239.95586303322398
991,2,0,0,0,1,1,1356998400,-224.67595871255799
911,2,0,0,0,1,1,1356998400,-213.25173118308794
831,3,1577,1,0,0,1,1357084800,11159.271525497705
722,3,1655,1,0,0,1,1357084800,11645.636355704039
1046,3,614,1,0,0,1,1357084800,5316.008076190112
